Artist,Title,Year,URL
Pretenders,2000 Miles,1984,https://open.spotify.com/track/5wTM2Bm8phDwHAuOsfBwhU?si=568eae0bfa4a4d23
Nat King Cole,Joy To The World,1719,https://open.spotify.com/track/1VuAamHM7P3VQQEXYGG3Uu?si=4c11553e2d334ac6
Sia,Santa's Coming for Us,2018,https://open.spotify.com/track/1N1ZpYUJc9fwrqk53FGgWv?si=5c1768fb9dce418a
Amy Grant,Grown-Up Christmas List,1992,https://open.spotify.com/track/24lCPIiEWKg9K7k1Gh1h8q?si=1506ce2deb2d4211
Katy Perry,Cozy Little Christmas,2018,https://open.spotify.com/track/02FaKXXL7KUtRc7K0k54tL?si=558cae3b785641f2
Mud,Lonely This Christmas,1974,https://open.spotify.com/track/5DMItYJluCFc7YtFdP4aXo?si=c43b7d2c1a9d4cf5
Christina Aguilera,Angels We Have Heard On High,1862,https://open.spotify.com/track/0zfWzhPQXrFPAWznN1UF1T?si=456f8f0bf8794360
Coldplay,Christmas Lights,2010,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL?si=58138c1fa8634ad9
Frank Sinatra,Mistletoe And Holly,1957,https://open.spotify.com/track/7faDzZnZYqTyYThx2sbHVQ?si=c5caa2717ecd406a
Ava Max,Christmas Without You,2020,https://open.spotify.com/track/1QLZKzC2pjP4ySf4ALrNhm?si=44829d9acb1241db
Céline Dion,Happy Xmas (War Is Over),1971,https://open.spotify.com/track/2ohR9Qj4TgZafZCptO9cly?si=77adc92531994ab1
Daryl Hall & John Oates,Jingle Bell Rock,1983,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU?si=c313e74051874646
Mariah Carey,Christmas (Baby Please Come Home),1994,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN?si=fb0676331d4843c2
Ella Fitzgerald,Sleigh Ride,1960,https://open.spotify.com/track/4ukUoXLuFzMixyZyabSGc4?si=64be6f7aa62e469e
Céline Dion; Andrea Bocelli,The Prayer,1998,https://open.spotify.com/track/6zlY4xmlgqvn4LxjzoS2mz?si=7c4a154e2a2f4aac
Idina Menzel,Let it Go,2013,https://open.spotify.com/track/0qcr5FMsEO85NAQjrlDRKo?si=24a26652f68e46b3
John Williams,Christmas at Hogwarts,2001,https://open.spotify.com/track/4WPw9shOzxaA4cWws44Xjd?si=8e1c0e5269ed4612
Pyotr Ilyich Tchaikovsky,Dance of the Sugar-Plum Fairy,1892,https://open.spotify.com/track/4QTFU7BukoyDtyyemGPNCX?si=3ed213ddd2b74bfb
Vanilla Ice,Ice Ice Baby,1990,https://open.spotify.com/track/3XVozq1aeqsJwpXrEZrDJ9?si=f4c7be07ddcb4d3b
Taylor Swift,'tis the damn season,2020,https://open.spotify.com/track/7dW84mWkdWE5a6lFWxJCBG?si=02e093f9ee5140d7
