Artist,Title,Year,URL
Eagles,Please Come Home for Christmas,1960,0cwealcvftIKDBFJh1X014
The Beach Boys,Little Saint Nick,1964,5xlS0QkVrSH7ssEbBgBzbM
Gwen Stefani; Blake Shelton,You Make It Feel Like Christmas,2017,2OQ6a4CfUeYskpTTgyawyJ
Nat King Cole,Deck The Hall,1960,0rHToGels2lt8Y0mCYoF90
Paul McCartney,Wonderful Christmastime,1980,1SV1fxF65n9NhRHp3KlBuu
Bing Crosby,I'll Be Home For Christmas,1943,4lftz0V8DZhWSVtL4GrzMH
Pentatonix,Hallelujah,2017,0HZk0QsXPhMNAWNDR3rYE8
Bing Crosby,White Christmas,1954[Escuse the racism],4rp2Hr51C99Nx5AC9GfSeI
Bruce Springsteen,Santa Claus Is Comin' to Town,1981,6s2wpWPFPAgKg2LXxi1Oee
Elvis Presley,Blue Christmas,1957,3QiAAp20rPC3dcAtKtMaqQ
Stevie Wonder,What Christmas Means to Me,1967,7xZsOJBebpV9lsX3XUV7x3
Michael Bublé,It's Beginning to Look a Lot like Christmas,2012,5a1iz510sv2W9Dt1MvFd5R
Kelly Clarkson; Ariana Grande,Santa Can’t You Hear Me,2021,2O3MQ6H3gjrIWDcpeTrikT
Queen,Thank God It's Christmas,1984,3AymrUApW5JKKaNrHQhcBG
Whitney Houston,Do You Hear What I Hear,1995,5umJVEAPT2SocCoB99ZoaH
Frank Sinatra; B. Swanson Quartet,Let It Snow! Let It Snow! Let It Snow!,1945,0SUKNXEqZnRw7g0NO139FM
Burl Ives,Rudolph The Red-Nosed Reindeer,1965,47otoIkhx3fkdivEXL5OB6
Britney Spears,My Only Wish (This Year),2000,0YWUHZPJVg4iujddsJDwhM
Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),1947,25leEEaz1gIpp7o21Fqyjo
Dolly Parton,Hard Candy Christmas,1984,0uTVChzibEWKrXojPaJ9y1
Idina Menzel; Michael Bublé,Baby It's Cold Outside (with Michael Bublé),2014,0Ie5uiv54KgCr7P4sYDTHl
Ed Sheeran; Elton John,Merry Christmas,2021,3bH2Eu9A9ymI4UnGHRmoXg
Taylor Swift,Christmas Tree Farm,2019,2mvabkN1i2gLnGAPUVdwek
*NSYNC,Merry Christmas Happy Holidays,1998,4v9WbaxW8HdjqfUiWYWsII
Shakin' Stevens,Merry Christmas Everyone,1991,2TE4xW3ImvpltVU0cPcKUn
The Jackson 5,I Saw Mommy Kissing Santa Claus,1970,15sxLiiChE5dCW3Y756oas
Wizzard,I Wish It Could Be Christmas Everyday,2007,1mH6tZC6iXIHPI6EixCwxw
Trans-Siberian Orchestra,Christmas Eve / Sarajevo 12/24,1996,3sBnSBnzpEYKpJYGsAIbup
Destiny's Child,8 Days of Christmas,2001,7o4HtESXicUqk3oRqngIsS
Frank Sinatra,Jingle Bells,1948,4KV9bM7a1KDc7b7OakFZic
Justin Bieber,Mistletoe,2011,7xapw9Oy21WpfEcib2ErSA
Eartha Kitt; Henri René and His Orchestra,Santa Baby,1953,1foCxQtxBweJtZmdxhEHVO
Chuck Berry,Run Rudolph Run,1986,2pnPe4pJtq7689i5ydzvJJ
Leona Lewis,One More Sleep,2013,78pn8k7RogKo2oxl0DyX6d
Frank Sinatra,Silent Night,1818,06gfpz7tUnRadSmMcehXC0
Frank Sinatra,We Wish You The Merriest,1964,6eg2f6xomaIwtGsov9HWHr
Sabrina Carpenter,A Nonsense Christmas,2023,73ye7F9Ub51dQ3CrnCHFhr
Cher,DJ Play A Christmas Song,2023,18uSfZqFBxQFi8CsXOIbhy
Pentatonix,Mary Did You Know,1991,4aCqRYHavLWbUCuoBjh7Xs
Stevie Wonder,Someday At Christmas,1967,0OdTRhhGt8aq4UXh67CKQg
Run–D.M.C.,Christmas In Hollis,1988,41onDks2UPbyjer5fMeUWf
Donny Hathaway,This Christmas,1990,38xhBO2AKrJnjdjVnhJES6
Ella Fitzgerald,Frosty The Snowman,1960,65irrLqfCMRiO3p87P4C0D
Jonas Brothers,Like It's Christmas,2019,1OjmlSFuzYflWjSMTCyTJv
Elvis Presley,Here Comes Santa Claus,1957,7n7VsX3sv66znBwA8b5uhp
Jessie J,Man With The Bag,1950,2Ysi49tRdVH74d1Cnc4o94
Band Aid,Do They Know It's Christmas,1984,4Yg2w0P29BBBMixyeNjDtj
Pretenders,2000 Miles,1984,5wTM2Bm8phDwHAuOsfBwhU
Nat King Cole,Joy To The World,1719,1VuAamHM7P3VQQEXYGG3Uu
Sia,Santa's Coming for Us,2018,1N1ZpYUJc9fwrqk53FGgWv
Amy Grant,Grown-Up Christmas List,1992,24lCPIiEWKg9K7k1Gh1h8q
Katy Perry,Cozy Little Christmas,2018,02FaKXXL7KUtRc7K0k54tL
Mud,Lonely This Christmas,1974,5DMItYJluCFc7YtFdP4aXo
Christina Aguilera,Angels We Have Heard On High,1862,0zfWzhPQXrFPAWznN1UF1T
Coldplay,Christmas Lights,2010,4fzyvSu73BhGvi96p2zwjL
Frank Sinatra,Mistletoe And Holly,1957,7faDzZnZYqTyYThx2sbHVQ
Ava Max,Christmas Without You,2020,1QLZKzC2pjP4ySf4ALrNhm
Céline Dion,Happy Xmas (War Is Over),1971,2ohR9Qj4TgZafZCptO9cly
Daryl Hall & John Oates,Jingle Bell Rock,1983,6pVW5LRWgeLaHudxauOTJU
Mariah Carey,Christmas (Baby Please Come Home),1994,3PIDciSFdrQxSQSihim3hN
Ella Fitzgerald,Sleigh Ride,1960,4ukUoXLuFzMixyZyabSGc4
Céline Dion; Andrea Bocelli,The Prayer,1998,6zlY4xmlgqvn4LxjzoS2mz
Idina Menzel,Let it Go,2013,0qcr5FMsEO85NAQjrlDRKo
John Williams,Christmas at Hogwarts,2001,4WPw9shOzxaA4cWws44Xjd
Pyotr Ilyich Tchaikovsky,Dance of the Sugar-Plum Fairy,1892,4QTFU7BukoyDtyyemGPNCX
Vanilla Ice,Ice Ice Baby,1990,3XVozq1aeqsJwpXrEZrDJ9
Taylor Swift,'tis the damn season,2020,7dW84mWkdWE5a6lFWxJCBG
Reel Big Fish,Carol of the Bears,2014,099MDciLbHddAZn05W1ipa
The Broflofskis,Dreidel Dreidel Dreidel,1999,4nPTLuEMkQ50M8uvfWILHl
Josh Gad;Kristen Bell;Idina Menzel,Ring in the Season,2017,4UoYb2HJklHzXbVA5klJGt
Josh Gad;Kristen Bell;Idina Menzel,That Time of Year,2017,1kEFzZpyfpgBYC0PnODx2F
Tyler the Creator,Youre a Mean One Mr. Grinch,2018,5xQskDSiHQeoebxoprn3HL
Ying Yang Twins,Ho Ho Ho,2016,7djjCXnGWIsKVnK3biZLGd
Afroman,A colt 45 Christmas,2006,76bwyNf9AF51RC0rAjHHOI
Jimmy Buffett,Ho Ho Ho and a Bottle of Rhum,1996,3k0YQ6CfyqdJ9ELJYSrh4c
Lou Monte,Dominick the Donkey,1960,7kWD5fzU9Pkux4TQ5V5F3S
Jimmy Buffett,Mele Kalikimaka,1996,0aVZwOMLntqrkth0DBo5An
Nat King Cole, All I Want for Christmas Is My Two Front Teeth,1948,4xXMJbzVQSCyprr4PG5sBj
Dolly Parton,A Smoky Mountain Christmas,1986,2kvkaVsPHijFOOGf55wxMf
Ariana Grande,December,2015,7zrhy9OhtcO7MdIvbbJiOa
The Muppet Cast,Scrooge,1992,5qzKbcG0u62q0e8FYyny4s
Tchaikovsky,Waltz of the Flowers,1892,2EM3z870MwvKASPO23MeUB
Tchaikovsky,Russian Dance,1892,6kHWawEbq5Vcyp8nSHhGjs
The Muppet Cast,Marley and Marley,1992,65kJ7r3yumBXKRutWhfMLo
Katie Campbell;Dominik Hauser,Christmas Vacation,1989,0X6P2uxxWYfiuq6PnyOEjL
Danny Go!,The Santa Freeze Dance,2022,2TxdsyEHKhlswsw7CJl8E1
Danny Go!,Candy Cane Crush,2024,0jmbMP78lyWbm6XrHsys2U
Kristen Bell,Do You Want to Build a Snowman?,2013,2yi7HZrBOC4bMUSTcs4VK6
Billy Mack,Christmas is All Around,2003,2bWizjWMdoTFUmMdaZsZsi
Darlene Love,All Alone on Christmas,1992,5LcXgvFrPx26X8ZexNMT0s
Louis Prima,Pennies from Heaven,1936,57Ix0bAnWd48YhEAp9y20K
Backstreet Boys,Happy Days,2022,6iIpGyZlAitYnJHR7laegC
The Beach Boys,Little Saint Nick,1963,5xlS0QkVrSH7ssEbBgBzbM
Frank Sinatra,The Christmas Waltz,1957,33Us40eo8EQFa2VmdbLMxe
Reel Big Fish,Grandma Got Run Over By A Reindeer,2014,49iHYFjT5yO6WEw6KerX9o
Relient K,12 Days of Christmas,1780,5vVrDSIrZm3CpCTVBlKyrT
John Lennon,Happy Xmas (War Is Over),1971,27RYrbL6S02LNVhDWVl38b
Fall Out Boy,Yule Shoot Your Eye Out,2009,24ZZV8nmMT0TD5jVdkqNhK
Trans-Siberian Orchestra,Christmas Canon,1998,0O4vuJynWVVdyvoHvZtnk3
The Darkness,Christmas Time (Don't Let the Bells End),2003,0J2Z3Z2jzv8Q9Y9Jfek1jH
Carrie Underwood,Stretchy Pants,2021,4nEo5fRitrMAf8VBfRBAWQ
